name,link,image,regular_price,category,store,date
"ACER SWiIFT 3, SF314-43-R2F9, Silver, 14'' Ryzen™ 3 5300U, 8G, 256GB, Linux",https://ddstore.mk/acer-swiift-3-sf314-43-r2f9-silver-14-fhd-amd-ryzentm-3-5300u-8g-ddr4-256gb-ssd-2xusb3-2-1xusbc-figerprint-card-reader-camera-hdmi-bt-linux.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/5/956529_77_w.jpg,32544,LAPTOP,DDStore,2023-09-24
"HP OMEN 15-en0011nia, Ryzen 5-4600H, 15.6” FHD IPS 144Hz, 8GB, 512GB SSD, 1650Ti 4GB, W10H, Mica Silver",https://ddstore.mk/hp-nb-omen-15-en0011nia-ryzen-5-4600h-hexa-15-6-fhd-antiglare-ultraslim-ips-144hz-narrow-border-8gb-ddr4-2dm-3200-512gb-pcie-ssd-nvidia-geforce-1650ti-4gb-win10-home-mica-silver-3y.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/5/958114_97_w.jpg,60094,LAPTOP,DDStore,2023-09-24
"ACER Swift 1 (SF114-33-P3EE), Silver, 14'', N5030, 8GB, 256GB, Linux",https://ddstore.mk/acer-swift-1-sf114-33-p3ee-silver-14-fhd-ips-intelr-pentiumr-silver-processor-n5030-8gb-ddr4-256gb-nvme-ssd-4xusb-figerprint-camera-hdmi-bt-linux.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/5/958275_63_w.jpg,24465,LAPTOP,DDStore,2023-09-24
"ACER Swift 1 (SF114-33-P629), Gold, 14'', N5030, 8GB, 256GB, Linux",https://ddstore.mk/acer-swift-1-sf114-33-p629-gold-14-fhd-ips-intelr-pentiumr-silver-processor-n5030-8gb-ddr4-256gb-nvme-ssd-4xusb-figerprint-camera-hdmi-bt-linux.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/5/958276_94_w.jpg,24465,LAPTOP,DDStore,2023-09-24
"ACER Swift 3, SF314-511-56XT, Silver, 14'' FHD, i5-1135G7, 16G, 512GB SSD, Linux",https://ddstore.mk/acer-swiift-3-sf314-511-56xt-silver-14-fhd-intelr-coretm-i5-1135g7-16g-ddr4-512gb-ssd-1xusb-type-c-thunderbolttm-4-1xusb-3-2-figerprint-camera-hdmi-bt-linux.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/981736_28_w.jpg,44255,LAPTOP,DDStore,2023-09-24
"HP Pavilion 15-eg0611nia i5-1135G7, 15.6” FHD, 8GB DDR4, 256GB SSD, Intel Iris Xe, FreeDOS",https://ddstore.mk/hp-nb-pavilion-15-eg0611nia-intel-core-i5-1135g7-8m-cache-up-to-4-20-ghz-15-6-fhd-8gb-ddr4-2dm-3200-256gb-pcie-value-ssd-intel-iris-xe-graphics-freedos-1y.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/983866_5_w.jpg,39130,LAPTOP,DDStore,2023-09-24
"Lenovo ThinkPad E15 Gen 3 Black 15,6"" R7 5700U, 16GB, 1TB NVMe, DOS",https://ddstore.mk/computersandlaptops/notebooksandaccessories/thinkpad-e15-gen-3-black-r7-5700u-16gb-1tb-nvme-15-6-dos-amd-ryzen-7-5700u-8c-16t-1-8-4-3ghz-4mb-l2-8mb-l3-8gb-soldered-ddr4-3200-8gb-so-dimm-ddr4-3200-up-to-2-pcie-1tb-ssd-m-2-2280-pcie-nvme-15-6-fhd-1920x1080-,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/984415_68_w.jpg,48150,LAPTOP,DDStore,2023-09-24
"Lenovo ThinkBook 14 G2 ITL Mineral Grey 14"" i7-1165G7, 8GB, 512GB NVMe, Win 11 Pro",https://ddstore.mk/computersandlaptops/notebooksandaccessories/thinkbook-14-g2-itl-mineral-grey-i7-1165g7-8gb-512gb-nvme-14-win-11-pro-intel-core-i7-1165g7-4c-8t-2-8-4-7ghz-12mb-8gb-soldered-ddr4-3200-up-to-2-pcie-512gb-ssd-m-2-2242-pcie-nvme-14-fhd-1920x1080-ips-300nits-ag,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/984417_15_w.jpg,49589,LAPTOP,DDStore,2023-09-24
DELL Vostro 3510 15.6 Full HD/ i5-1135G7/ 8GB/ 512GB/ GeForce MX350,https://ddstore.mk/dell-vostro-3510-procesor-intel-core-i5-1135g7-8mb-4-2ghz-grafichka-karta-nvidia-geforce-mx350-2gb-ram-memori-a-8gb-ddr4-3200mh.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/988384_89_w.jpg,38999,LAPTOP,DDStore,2023-09-24
DELL Vostro 3510 15.6 Full HD/ i5-1135G7/ 8GB/ 512GB/ Iris Xe,https://ddstore.mk/dell-vostro-3510-procesor-intel-core-i5-1135g7-8mb-4-2ghz-rafichka-karta-integrated-intel-iris-xe-graphics-ram-memori-a-8gb-ddr.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/988386_85_w.jpg,36999,LAPTOP,DDStore,2023-09-24
DELL Vostro 3510 15.6 Full HD/ i7-1165G7/ 16GB/ 512GB/ Intel HD,https://ddstore.mk/dell-vostro-3510-procesor-intelr-coretm-i7-1165g7-12m-cache-up-to-4-7ghz-intel-hd-grafichka-karta-ram-memori-a-16gb-ddr4-3200mh.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/988387_33_w.jpg,49999,LAPTOP,DDStore,2023-09-24
"ACER Aspire 3 15,6"" Pentium N5030/ 4GB/ 256GB/ FHD/ 4core",https://ddstore.mk/laptop-acer-pentium-n503015-6-4gb-256gb-fhd-4core.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/988510_22_w.jpg,17061,LAPTOP,DDStore,2023-09-24
"ACER Aspire 3 15.6"" Pentium N5030/ FHD/ 4GB/ 128GB/ Win10home",https://ddstore.mk/laptop-acer-pentium-n503015-6-fhd-4gb-128gb-win10home.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/988512_18_w.jpg,17641,LAPTOP,DDStore,2023-09-24
"HP 250G8 15.6"" i3-1005G1/ 8GB/ 256GB/ W10P",https://ddstore.mk/notebook-hp-250g8-i3-1005g115-6-8gb-256gb-win10pro.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/988531_62_w.jpg,29248,LAPTOP,DDStore,2023-09-24
"Lenovo ThinkPad T14s Gen 2 Black 14"" i7-1165G7, 16GB, 1TB NVMe, Win11DG Win10Pro",https://ddstore.mk/computersandlaptops/notebooksandaccessories/thinkpad-t14s-gen-2-black-i7-1165g7-16gb-1tb-nvme-14-win-11-dg-win-10-pro-intel-core-i7-1165g7-4c-8t-2-8-4-7ghz-12mb-16gb-soldered-lpddr4x-4266-1tb-ssd-m-2-2280-pcie-x4-nvme-opal2-14-fhd-1920x1080-low-power-ips-,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/988768_77_w.jpg,118100,LAPTOP,DDStore,2023-09-24
"HP 250 G8 15.6"" i3-1005G1/ 4GB/ 256GB",https://ddstore.mk/notebook-hp-250g8-i3-1005g115-6-4gb-256gb-2core.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/988803_38_w.jpg,21007,LAPTOP,DDStore,2023-09-24
"HP 250 G8 15.6"" i3-1005G1/ 8GB/ 256GB/ W10Home",https://ddstore.mk/notebook-hp-250g8-i3-1005g115-6-8gb-256gb-2core-w10home.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/988804_66_w.jpg,26579,LAPTOP,DDStore,2023-09-24
"HP EliteBook 850 G8 15.6"" EB850G8 i5-1135G7/ 16GB/ 512GB/ win10pro",https://ddstore.mk/notebook-hp-eb850g8-i5-1135g715-6-16gb-512gb-win10pro-3g.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/989003_2_w.jpg,71785,LAPTOP,DDStore,2023-09-24
"Lenovo ThinkPad E15 Gen 2 Black i7-1165G7, 16GB, 1TB NVMe, 15,6"", DOS",https://ddstore.mk/computersandlaptops/notebooksandaccessories/thinkpad-e15-gen-2-black-i7-1165g7-16gb-1tb-nvme-15-6-dos-intel-core-i7-1165g7-4c-8t-2-8-4-7ghz-12mb-1x-16gb-ddr4-3200-up-to-2-pcie-1tb-ssd-m-2-2280-pcie-nvme-15-6-fhd-1920x1080-ips-250nits-ag-720p-with-privacy-,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/989543_37_w.jpg,54690,LAPTOP,DDStore,2023-09-24
"Lenovo ThinkPad E14 Gen 4 Black 14"" i5-1235U, 16GB, 512G NVMe, DOS",https://ddstore.mk/computersandlaptops/notebooksandaccessories/thinkpad-e14-gen-4-black-i5-1235u-16gb-512g-nvme-14-dos-intel-core-i5-1235u-10c-2p-8e-12t-p-core-1-3-4-4ghz-e-core-0-9-3-3ghz-12mb-8gb-soldered-ddr4-3200-8gb-ddr4-3200-512gb-ssd-m-2-2242-pcie-nvme-14-fhd-1920x10,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/989629_12_w.jpg,54700,LAPTOP,DDStore,2023-09-24
"ASUS X515EA-BQ312 15.6"" FULL HD/ i3-1115G4/ 8GB/ 256GB/ Intel UHD",https://ddstore.mk/asus-x515ea-bq312-slate-grey-procesor-intel-core-i3-1115g4-processor-3-0-ghz-6m-cache-up-to-4-1-ghz-2-cores-ram-memori-a-8gb-d.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/989691_15_w.jpg,21999,LAPTOP,DDStore,2023-09-24
"ACER Aspire 5 (A515-56-35KA), 15.6"" FHD, i3-1115G4, Iris® Xe, 8 GB, 256GB SSD, Linux",https://ddstore.mk/acer-aspire-5-a515-56-35ka-15-6-fhd-1920-x-1080-resolution-intelr-coretm-i3-1115g4-irisr-xe-graphics-8-gb-256gb-pcie-nvme-ssd-3xusb-3-2-1xusb-c-hd-webcam-hdmi-wi-fi-6-ethernet-bt-linux-989770.html,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/8/989770_77_w.jpg,31185,LAPTOP,DDStore,2023-09-24
