name,category,store,link,image,regular_price,discount_price,date
"HP 250 G8 N4020 4GB/256GB/Intel UHD/15.6"" HD/RJ45/USB-C/DOS",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29391974/hp-250-g8-n4020-4gb256gbintel-uhd156-hdrj45usb-cdos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/333_5ec6b34e-e1c8-436b-845c-b2377e368d4e.jpg,15499,13599.0,2023-09-24
"ACER EX215 N4120 4GB/256GB SSD/15.6"" FHD IPS/DOS/BLACK",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29388125/acer-ex215-n4120-4gb256gb-ssd156-fhd-ipsdosblack,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/718kyunifdl._ac_sl1468_.jpg,16799,14599.0,2023-09-24
"ACER EX215 N5100 4GB/256GB SSD/15.6"" FHD IPS/GIGALAN/DOS/BLACK",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29389640/acer-ex215-n5100-4gb256gb-ssd156-fhd-ipsgigalandosblack,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/extensa-15-ex215-32-bk_gallery_02.jpg,16870,14799.0,2023-09-24
"HP 15S-FQ3001NIA, 593J5EA N4500/4GB/128GB/WIN",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29394510/hp-15s-fq3001nia-593j5ea-n45004gb128gbwin,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/27102022133518download12.jpg,17099,13999.0,2023-09-24
"LENOVO IP3 6305 8GB/256GB/15.6"" FULLHD AD 250N/DOS/ARCTICGRAY",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395579/lenovo-ip3-6305-8gb256gb156-fullhd-ad-250ndosarcticgray,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/06032023144655ld0005927658_1-k200.jpg,19299,14799.0,2023-09-24
"HP 15S RYZEN3 5300U 4GB/256GB/GIGALAN/15.6"" FULLHD/DOS",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29393804/hp-15s-ryzen3-5300u-4gb256gbgigalan156-fullhddos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/48m23ea2-800x800.jpg,19829,17389.0,2023-09-24
"LENOVO IP3 I3-1154G3 4GB/256GB/15.6"" FULLHD/1MP CAM/ARCTIC GRAY/DOS",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29393117/lenovo-ip3-i3-1154g3-4gb256gb156-fullhd1mp-camarctic-graydos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/download8599.jpg,21199,18599.0,2023-09-24
"LENOVO IP3 15 6305 4GB/256GB/15.6"" FHD IPS/TPM/1.65KG/DOS/GRAY",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29387539/lenovo-ip3-15-6305-4gb256gb156-fhd-ipstpm165kgdosgray,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/ideapad315itl6.jpg,21299,12999.0,2023-09-24
"HP 250G8 I3-1005G1 4GB/256GB INTEL UHD GRAPHICS 15,6""",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29394969/hp-250g8-i3-1005g1-4gb256gb-intel-uhd-graphics-156,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/29112022105406download11.jpg,21699,18999.0,2023-09-24
"LENOVO IP3 RYZEN3 3250U 4GB/256GB SSD/15.6"" FHD TN AG/DOS/ARCTIC GRAY",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29391066/lenovo-ip3-ryzen3-3250u-4gb256gb-ssd156-fhd-tn-agdosarctic-gray,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/1202202213141734.jpg,21899,19199.0,2023-09-24
"HP 15 I3-1115G4 4GB/256GB/15.6"" FULLHD/GIGALAN/DOS/DARKGRAY",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29393806/hp-15-i3-1115g4-4gb256gb156-fullhdgigalandosdarkgray,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/d379ff78-saca1300-2.jpg,22799,19999.0,2023-09-24
"ACER ASPIRE A315 RYZEN 3 3250U 12GB/256GB SSD/GIGALAN/15.6"" FULLHD IPS",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395563/acer-aspire-a315-ryzen-3-3250u-12gb256gb-ssdgigalan156-fullhd-ipsdosblack,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/54981.jpg,22899,19699.0,2023-09-24
"LENOVO IP3 PENTIUM 7505 4GB/256GB SSD/15.6"" FHD TN AG/DOS",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29391067/lenovo-ip3-pentium-7505-4gb256gb-ssd156-fhd-tn-agdos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/0302202216270517122021134234ideapad315itl6.jpg,23499,18299.0,2023-09-24
"Lenovo IdeaPad 1 Ryzen3 7320U/8GB/512GB SSD/15.6"" FHD/DOS",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396543/lenovo-ideapad-1-ryzen3-7320u8gb512gb-ssd156-fhddos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/0507202314015282vg006erm-1.jpg,23999,20999.0,2023-09-24
"HP 250 G9 I3-1215U 8GB/256GB/15.6"" FHD AG/IRIS XE/GIGALAN/TYPE-C/DOS/D",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395736/hp-250-g9-i3-1215u-8gb256gb156-fhd-agiris-xegigalantype-cdosdark-silver,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/hp250g9.jpg,24699,21599.0,2023-09-24
"Lenovo IP3 i3-1115G4 8GB/512GB/15.6"" FullHD/DOS/Blue",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396549/lenovo-ip3-i3-1115g4-8gb512gb156-fullhddosblue,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/82h900sbrm.jpg,24699,21599.0,2023-09-24
"LENOVO IP3 PENTIUM 7505 4GB/256GB SSD/15.6"" FHD/DOS/ULTRA SLIM/GRAY",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29390394/lenovo-ip3-pentium-7505-4gb256gb-ssd156-fhddosultra-slimgray,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/17122021134234ideapad315itl6.jpg,24999,18299.0,2023-09-24
"Asus ExpertBook B1500CEAE i3-1115G4/8GB/256GB/15.6"" FHD IPS/Backlit KB",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396450/asus-expertbook-b1500ceae-i3-1115g48gb256gb156-fhd-ipsbacklit-kbwin10pro,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/05052023124903download(4).jpg,25999,22999.0,2023-09-24
"LENOVO IP3 RYZEN3 5300U 4GB/256GB SSD/15.6"" FHD/DOS/ULTRA SLIM/GRAY",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29390393/lenovo-ip3-ryzen3-5300u-4gb256gb-ssd156-fhddosultra-slimgray,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/lenovoideapad3-15alc6__1__01(2).jpg,26499,20999.0,2023-09-24
"HP 250 G8 i3-1115G4 4 GB / 256 SSD UHD Graphics 15.6"" Notebook",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29394565/hp-250-g8-i3-1115g4-4-gb-256-ssd-uhd-graphics-156-notebook,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/08112022085310download11.jpg,26499,20999.0,2023-09-24
HP 15 RYZEN 3 7320U/8GB/512GB/15.6'' FULL HD IPS/DOS/SILVER,LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29398029/hp-15-ryzen-3-7320u8gb512gb156-full-hd-ipsdossilver,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/88x04ea.jpg,26499,22999.0,2023-09-24
"ACER ASPIRE 3 A315-23 15,6"" FHD AMD RYZEN 3 3250U 8GB/256GB",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395154/acer-aspire-3-a315-23-156-fhd-amd-ryzen-3-3250u-8gb256gb,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/14122022161722download1.jpg,26999,19499.0,2023-09-24
"ACER ASPIRE 3 A315-23 15,6"" FHD AMD RYZEN 5 3500U AMD RADEON™ VEGA 8",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395155/acer-aspire-3-a315-23-156-fhd-amd-ryzen-5-3500u-amd-radeon-vega-8-8gb256gb,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/14122022161252download11.jpg,28499,21999.0,2023-09-24
"Asus VivoBook 15 X1500EA i5-1135G7/8GB/512GB/15.6"" FHD IPS/Backlit KB/",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395766/asus-vivobook-15-x1500ea-i5-1135g78gb512gb156-fhd-ipsbacklit-kbdos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/10032023152304download11.jpg,30199,26499.0,2023-09-24
"LENOVO IP3 I5-1155G7 8GB/512GB/15.6"" FULLHD IPS/TPM/DOS/GREY",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395012/lenovo-ip3-i5-1155g7-8gb512gb156-fullhd-ipstpmdosgrey,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/81we00t2rm-1.jpg,30319,26589.0,2023-09-24
"LENOVO IDEAPAD 1 RYZEN5 7520U/8GB/512GB SSD/15.6"" FHD/DOS",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395738/lenovo-ideapad-1-ryzen5-7520u8gb512gb-ssd156-fhddos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/82vg006erm-1.jpg,30699,22899.0,2023-09-24
"DELL VOSTRO 3515 RYZEN5 3450U 8GB/256GB SSD/VEGA8/15.6"" FULLHD/BACKLIT",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29391975/dell-vostro-3515-ryzen5-3450u-8gb256gb-ssdvega8156-fullhdbacklitkbubuntu,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/15042022105611download(1).jpg,31499,28599.0,2023-09-24
"ASUS VIVOBOOK R564JA I3-1005G1/4GB/128GB/15.6"" FHD TOUCHSCREEN/FP/BT/W",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29292094/asus-vivobook-r564ja-i3-1005g14gb128gb156-fhd-touchscreenfpbtwin10,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/27012021145847r564jauh51t.jpg,31999,23999.0,2023-09-24
"HUAWEI D15 I5-1135G7 8GB/512GB/15.6"" FULLHD/WIN11HOME",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29391474/huawei-d15-i5-1135g7-8gb512gb156-fullhdwin11home,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/51672_0-1000x1000.jpg,31999,27999.0,2023-09-24
"HP 250 G9 i5-1235U 8GB/512GB/15.6"" FHD AG/Iris XE/GigaLAN/Type-C/DOS/D",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396539/hp-250-g9-i5-1235u-8gb512gb156-fhd-agiris-xegigalantype-cdosdark-silver,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/6f1z7ea.jpg,32489,28499.0,2023-09-24
HP 15 RYZEN5 7520U/16GB/512GB SSD/15.6'' FULL HD IPS AG 250 NITS/DOS/N,LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29398030/hp-15-ryzen5-7520u16gb512gb-ssd156-full-hd-ips-ag-250-nitsdosnatural-silver,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/88x04ea.jpg,32499,28499.0,2023-09-24
"DELL VOSTRO 3500 I3-1115G4/8GB/256GB SSD/15.6"" FHD/WIN10",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29392402/dell-vostro-3500-i3-1115g48gb256gb-ssd156-fhdwin10,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/11download.jpg,33199,28992.0,2023-09-24
"HP 250 G9 i5-1235U 8GB/256GB/15.6"" FHD AG/Iris XE/GigaLAN/Type-C/DOS/D",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396269/hp-250-g9-i5-1235u-8gb256gb156-fhd-agiris-xegigalantype-cdosdark-silver,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/04042023090512download(1).jpg,33999,29999.0,2023-09-24
"LENOVO IP3 RYZEN7 5700U 12GB/512GB SSD/15.6"" FHD/DOS/ULTRA SLIM/GRAY",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29390845/lenovo-ip3-ryzen7-5700u-12gb512gb-ssd156-fhddosultra-slimgray,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/82ku0074rm_1.jpg,37199,32599.0,2023-09-24
"Lenovo IP3 i5-1235U 16GB/512GB/15.6"" FullHD IPS/Grey/DOS",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396548/lenovo-ip3-i5-1235u-16gb512gb156-fullhd-ipsgreydos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/2820792-n0.jpg,38299,33599.0,2023-09-24
"HP 15S RYZEN7 5700U 16GB/512GB/15.6"" FULLHD/DOS/CHALKBOARD GRAY",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395600/hp-15s-ryzen7-5700u-16gb512gb156-fullhddoschalkboard-gray,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/48m23ea2-800x800(1).jpg,38669,33899.0,2023-09-24
"HP 15S i5-1235U/8GB/512GB SSD/15.6"" FHD IPS/Win11",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396449/hp-15s-i5-1235u8gb512gb-ssd156-fhd-ipswin11,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/05052023124820download(4).jpg,38759,33999.0,2023-09-24
HP PAVILION 15 RYZEN7 7730U 16GB/512GB SSD/15.6'' FULL HD/DOS,LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396971/hp-pavilion-15-ryzen7-7730u-16gb512gb-ssd156-full-hddos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/807g1ea-1.jpg,39769,34499.0,2023-09-24
LENOVO IDEPAD SLIM 3 RYZEN7 7730U/16GB/512GB SSD/15.6'' FHD AG 300nits,LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396537/lenovo-idepad-slim-3-ryzen7-7730u16gb512gb-ssd156-fhd-ag-300nitsgrey,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/82xm004krm.jpg,39999,35999.0,2023-09-24
"LENOVO GAMING 3 RYZEN5 5600H 16GB/512GB/GTX1650 4GB/15.6"" FullHD AG 25",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29398028/lenovo-gaming-3-ryzen5-5600h-16gb512gbgtx1650-4gb156-fullhd-ag-250nblackdos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/0903202215365582k2007arm_1.jpg,45499,39999.0,2023-09-24
"GIGABYTE U4 UD I5-1155G7/16GB/512GB SSD/IRIS XE/14"" FHD IPS/BACKLIT KB",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29394424/gigabyte-u4-ud-i5-1155g716gb512gb-ssdiris-xe14-fhd-ipsbacklit-kb990gdos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/download122.jpg,47319,41499.0,2023-09-24
"DELL VOSTRO 3510 I7-1165G7 8GB/512GB/INTEL IRIS XE/15.6"" FHD/BACKLIT K",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29389600/dell-vostro-3510-i7-1165g7-8gb512gbintel-iris-xe156-fhdbacklit-kb3cellubuntu,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/dellvostro3510i7_2.jpg,47499,43999.0,2023-09-24
"Lenovo Gaming 3 i5-11320H 8GB/512GB/GTX1650 4GB/15.6"" FullHD IPS/Black",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395888/lenovo-gaming-3-i5-11320h-8gb512gbgtx1650-4gb156-fullhd-ipsblack,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/82k10089rm_1.jpg,47879,41999.0,2023-09-24
"Lenovo IP3 i7-1225U 16GB/512GB/15.6"" FullHD IPS/DOS/ArcticGray",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396544/lenovo-ip3-i7-1225u-16gb512gb156-fullhd-ipsdosarcticgray,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/82h9005hrm_1.jpg,48599,42499.0,2023-09-24
DELL Vostro 3510 i5-1135G7/MX350 2GB/15.6” FHD/8GB/SSD 512GB/BACKLIT/B,LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29391376/dell-vostro-3510-i5-1135g7mx350-2gb156-fhd8gbssd-512gbbacklitblack-ddr43200mhz-512gb-ssd,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/pr_2021_10_11_11_1_15_897_04.jpg,48999,45499.0,2023-09-24
"Lenovo Gaming 3 i5-11320H/8GB/512GB/RTX3050 4GB/15.6"" FHD/Backlit Kb/D",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29395767/lenovo-gaming-3-i5-11320h8gb512gbrtx3050-4gb156-fhdbacklit-kbdos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/10032023152919download13.jpg,51299,43499.0,2023-09-24
"GIGABYTE G5 GE GAMING I5-12500H/8GB/512GB SSD/RTX 3050 4GB/15.6"" FHD 1",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29396256/gigabyte-g5-ge-gaming-i5-12500h8gb512gb-ssdrtx-3050-4gb156-fhd-144hz-ipsdos,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/29032023150826download(1).jpg,52439,45999.0,2023-09-24
"DELL VOSTRO 3510 I7-1165G7 16GB/512GB/INTEL IRIS XE/15.6"" FULLHD/BACKL",LAPTOP,TehnoMarket,https://tehnomarket.com.mk/product/29394516/dell-vostro-3510-i7-1165g7-16gb512gbintel-iris-xe156-fullhdbacklitkb3cellubuntu,https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/07032023125325dellvostro3510i7_2.jpg,52999,47999.0,2023-09-24
