name,link,image,regular_price,category,store,date
"Lenovo IdeaPad Flex 5 16ABR8 82XY002ESC, 16 WUXGA IPS Touchscreen, AMD Ryzen 5 7530U, 16GB RAM, 512GB PCIe NVMe SSD, AMD Radeon Graphics, Windows 11 Home, лаптоп",/mk/%D0%9A%D0%BE%D0%BC%D0%BF%D1%98%D1%83%D1%82%D0%B5%D1%80%D0%B8/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8-%D0%B8-%D0%BE%D0%BF%D1%80%D0%B5%D0%BC%D0%B0/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8/Lenovo-IdeaPad-Flex-5-16ABR8-82XY002ESC%2C-16-WUXGA-IPS-Touchscreen%2C-AMD-Ryzen-5-7530U%2C-16GB-RAM%2C-512GB-PCIe-NVMe-SSD%2C-AMD-Radeon-Graphics%2C-Windows-11-Home%2C-%D0%BB%D0%B0%D0%BF%D1%82%D0%BE%D0%BF/p/EK000531814,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000531814_1.image,46690,LAPTOP,EKupi,2023-10-11
"Apple MacBook Air 13.3"" mgn63cr/a, M1, 8GB RAM, 256GB, Space Grey, лаптоп",/mk/%D0%9F%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D1%98%D1%81%D0%BA%D0%B0-%D0%B0%D0%BA%D1%86%D0%B8%D1%98%D0%B0/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8-%D0%B8-%D0%BE%D0%BF%D1%80%D0%B5%D0%BC%D0%B0/Apple-MacBook-Air-13-3%22-mgn63cr-a%2C-M1%2C-8GB-RAM%2C-256GB%2C-Space-Grey%2C-%D0%BB%D0%B0%D0%BF%D1%82%D0%BE%D0%BF/p/EK000486147,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000486147_1.image,55890,LAPTOP,EKupi,2023-10-11
"Apple MacBook Air 13.3 Space Gray mgn63ze/a, 13,3, M1, 8GB RAM, 256GB, Space Grey, лаптоп",/mk/%D0%9F%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D1%98%D1%81%D0%BA%D0%B0-%D0%B0%D0%BA%D1%86%D0%B8%D1%98%D0%B0/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8-%D0%B8-%D0%BE%D0%BF%D1%80%D0%B5%D0%BC%D0%B0/Apple-MacBook-Air-13-3-Space-Gray-mgn63ze-a%2C-13%2C3%2C-M1%2C-8GB-RAM%2C-256GB%2C-Space-Grey%2C-%D0%BB%D0%B0%D0%BF%D1%82%D0%BE%D0%BF/p/EK000486091,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000486091_1.image,55890,LAPTOP,EKupi,2023-10-11
"Apple MacBook Air 13.3"" mgn93cr/a, M1, 8GB RAM, 256GB, Silver лаптоп",/mk/%D0%9F%D1%80%D0%B2%D0%BE%D0%BC%D0%B0%D1%98%D1%81%D0%BA%D0%B0-%D0%B0%D0%BA%D1%86%D0%B8%D1%98%D0%B0/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8-%D0%B8-%D0%BE%D0%BF%D1%80%D0%B5%D0%BC%D0%B0/Apple-MacBook-Air-13-3%22-mgn93cr-a%2C-M1%2C-8GB-RAM%2C-256GB%2C-Silver-%D0%BB%D0%B0%D0%BF%D1%82%D0%BE%D0%BF/p/EK000486148,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000486148_1.image,57690,LAPTOP,EKupi,2023-10-11
"Lenovo V15 G4 AMN, 82YU00VKSC, 15,6 FHD, AMD Ryzen 3 7320U, 16GB RAM, 512GB PCIe NVMe SSD, AMD Radeon 610M, Free DOS, лаптоп",/mk/%D0%9A%D0%BE%D0%BC%D0%BF%D1%98%D1%83%D1%82%D0%B5%D1%80%D0%B8/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8-%D0%B8-%D0%BE%D0%BF%D1%80%D0%B5%D0%BC%D0%B0/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8/Lenovo-V15-G4-AMN%2C-82YU00VKSC%2C-15%2C6-FHD%2C-AMD-Ryzen-3-7320U%2C-16GB-RAM%2C-512GB-PCIe-NVMe-SSD%2C-AMD-Radeon-610M%2C-Free-DOS%2C-%D0%BB%D0%B0%D0%BF%D1%82%D0%BE%D0%BF/p/EK000531815,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000531815_1.image,19990,LAPTOP,EKupi,2023-10-11
"Lenovo IdeaPad Gaming 3 15ARH7, 82SB00D0RM, 15.6"" FHD IPS, Ryzen 5-6600H, 16GB, 512GB SSD, RTX 3050 4GB лаптоп",/mk/%D0%90%D0%9A%D0%A6%D0%98%D0%88%D0%90-%D0%9D%D0%90-%D0%9B%D0%90%D0%9F%D0%A2%D0%9E%D0%9F%D0%98/Lenovo-IdeaPad-Gaming-3-15ARH7%2C-82SB00D0RM%2C-15-6%22-FHD-IPS%2C-Ryzen-5-6600H%2C-16GB%2C-512GB-SSD%2C-RTX-3050-4GB-%D0%BB%D0%B0%D0%BF%D1%82%D0%BE%D0%BF/p/EK000526613,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000526613_1.image,45590,LAPTOP,EKupi,2023-10-11
"Lenovo IdeaPad Flex 5 14ABR8, 82XX006ASC, 14 WUXGA IPS Touchscreen 300nits, AMD Ryzen 5 7530U, 16GB RAM, 512GB PCIe NVMe SSD, AMD Radeon Graphics, Windows 11 Home, лаптоп",/mk/%D0%9A%D0%BE%D0%BC%D0%BF%D1%98%D1%83%D1%82%D0%B5%D1%80%D0%B8/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8-%D0%B8-%D0%BE%D0%BF%D1%80%D0%B5%D0%BC%D0%B0/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8/Lenovo-IdeaPad-Flex-5-14ABR8%2C-82XX006ASC%2C-14-WUXGA-IPS-Touchscreen-300nits%2C-AMD-Ryzen-5-7530U%2C-16GB-RAM%2C-512GB-PCIe-NVMe-SSD%2C-AMD-Radeon-Graphics%2C-Windows-11-Home%2C-%D0%BB%D0%B0%D0%BF%D1%82%D0%BE%D0%BF/p/EK000542431,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000542431_1.image,46290,LAPTOP,EKupi,2023-10-11
"Lenovo ThinkBook 15 G4 IAP Mineral Grey (15,6"" FHD/i5-1235U/16GB DDR4/512GB SSD) лаптоп",/mk/%D0%9A%D0%BE%D0%BC%D0%BF%D1%98%D1%83%D1%82%D0%B5%D1%80%D0%B8/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8-%D0%B8-%D0%BE%D0%BF%D1%80%D0%B5%D0%BC%D0%B0/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8/Lenovo-ThinkBook-15-G4-IAP-Mineral-Grey-%2815%2C6%22-FHD-i5-1235U-16GB-DDR4-512GB-SSD%29-%D0%BB%D0%B0%D0%BF%D1%82%D0%BE%D0%BF/p/EK000496436,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000496436_1.image,42990,LAPTOP,EKupi,2023-10-11
"Lenovo Legion Pro 5 16ARX8, 82WM006QSC, 16 WQXGA, IPS, AMD Ryzen 7 7745HX, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 4060 , Free Dos, лаптоп",/mk/%D0%9A%D0%BE%D0%BC%D0%BF%D1%98%D1%83%D1%82%D0%B5%D1%80%D0%B8/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8-%D0%B8-%D0%BE%D0%BF%D1%80%D0%B5%D0%BC%D0%B0/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8/Lenovo-Legion-Pro-5-16ARX8%2C-82WM006QSC%2C-16-WQXGA%2C-IPS%2C-AMD-Ryzen-7-7745HX%2C-16GB-RAM%2C-1TB-SSD%2C-NVIDIA-GeForce-RTX-4060-%2C-Free-Dos%2C-%D0%BB%D0%B0%D0%BF%D1%82%D0%BE%D0%BF/p/EK000549523,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000549523_1.image,110590,LAPTOP,EKupi,2023-10-11
"Lenovo V15 G3 IAP, 82TT00A4SC, 15,6 FHD, Intel Core i3 1215U, 16GB RAM, 512GB PCIe NVMe SSD, Intel UHD Graphics, Free DOS, лаптоп",/mk/%D0%9A%D0%BE%D0%BC%D0%BF%D1%98%D1%83%D1%82%D0%B5%D1%80%D0%B8/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8-%D0%B8-%D0%BE%D0%BF%D1%80%D0%B5%D0%BC%D0%B0/%D0%9B%D0%B0%D0%BF%D1%82%D0%BE%D0%BF%D0%B8/Lenovo-V15-G3-IAP%2C-82TT00A4SC%2C-15%2C6-FHD%2C-Intel-Core-i3-1215U%2C-16GB-RAM%2C-512GB-PCIe-NVMe-SSD%2C-Intel-UHD-Graphics%2C-Free-DOS%2C-%D0%BB%D0%B0%D0%BF%D1%82%D0%BE%D0%BF/p/EK000541234,https://yekupi.blob.core.windows.net/ekupimk/300Wx300H/EK000541234_1.image,24590,LAPTOP,EKupi,2023-10-11
