name,link,image,regular_price,discount_price,category,store,date
"Лаптоп ASUS E410MA-BV1182TS 14"" N4020/4GB/128GB/WIN",https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-E410MA-BV1182TS-14--N4020-4GB-128GB-WIN,https://www.neptun.mk/2023/02/27/asus.JPG?width=192,18999,11999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER Aspire 3 A315-34-C6NV N4020/4GB/128GB,https://www.neptun.mk/categories/prenosni_kompjuteri/NB-ACER-Aspire-3-A315-34-C6NV-N4020-4GB-128GB,https://www.neptun.mk/2023/02/23/456.JPG?width=192,19999,12999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ASUS X515MA-EJ493 N4020/8GB/256GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-X515MA-EJ493-N4020-8GB-256GB,https://www.neptun.mk/2023/10/09/ASUS_X515MA-EJ4931.JPG?width=192,16999,15799.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 15s-eq2013nia R3-5300U/4GB/256GB 48M45EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-15s-eq2013nia-R3-5300U-4GB-256GB-48M45EA,https://www.neptun.mk/2023/01/27/c06605056_28006168-d360-46fe-b92b-e3a414fb881f.png?width=192,21999,16499.0,LAPTOP,Neptun,2023-10-11
Лаптоп ASUS X515EA-EJ312 i3-1115G4/8/256GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-X515EA-EJ312-i3-1115G4-8-256GB,https://www.neptun.mk/2023/02/23/acerrr.JPG?width=192,24999,16999.0,LAPTOP,Neptun,2023-10-11
Лаптоп HP 15s eq2011nia R3-5300U/8GB/256GB 48M43EA,https://www.neptun.mk/categories/prenosni_kompjuteri/HP-R3-5300U-8GB-256GB-48M43EA,https://www.neptun.mk/2022/06/23/c07966207f041ae3f-8f5b-4f9b-a2a1-c6976e518b07_1a81437a-27b3-4046-8b03-0c3a5e68636b.jpg?width=192,26999,17495.0,LAPTOP,Neptun,2023-10-11
Лаптоп ASUS E510MA-BR698W N4020/4GB/256GB/WIN,https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-E510MA-BR698W-N4020-4GB-256GB-WIN,https://www.neptun.mk/2023/02/23/asus.JPG?width=192,22999,17999.0,LAPTOP,Neptun,2023-10-11
Лаптоп LENOVO IdeaPad 3 15ITL6 i3-1115G4/8GB/256GB 82H802RARM,https://www.neptun.mk/categories/prenosni_kompjuteri/LENOVO-IdeaPad-3-15ITL6-i3-1115G4-8GB-256GB-82H802RARM,https://www.neptun.mk/2023/05/15/Lenovo_ef70b17a-403b-47b8-ba8f-3355519979fb.JPG?width=192,22999,18399.0,LAPTOP,Neptun,2023-10-11
Лаптоп NB LENOVO IdeaPad 1 15AMN7 R3-7320U/8GB DDR5/256GB,https://www.neptun.mk/categories/prenosni_kompjuteri/LENOVO-IdeaPad-1-15AMN7-15-6--i3-7320U-8GB-256GB--AMD-Radeon-610M,https://www.neptun.mk/2023/09/27/Lenovo4_7d144684-2b3a-40a3-bbbb-63550e176243.JPG?width=192,20699,18799.0,LAPTOP,Neptun,2023-10-11
Лаптоп ASUS X515EA-BQ322 i3-1115G4/8GB/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ASUS-X515EA-BQ322-i3-1115G4-8GB-512GB,https://www.neptun.mk/2023/05/26/Asus02_4012f72c-3164-46ce-8a48-b06e330bb554.JPG?width=192,25999,19999.0,LAPTOP,Neptun,2023-10-11
Лаптоп LENOVO R3-5300U/8GB/256GB 82KU006SRM,https://www.neptun.mk/categories/prenosni_kompjuteri/LENOVO-R3-5300U-8GB-256GB-82KU006SRM,https://www.neptun.mk/2023/02/23/len.JPG?width=192,27999,19999.0,LAPTOP,Neptun,2023-10-11
Лаптоп ACER Aspire 3 A315-24P-R1GJ R3-7320U/8GB DDR5/512GB,https://www.neptun.mk/categories/prenosni_kompjuteri/ACER-Aspire-3-A315-24P-R1GJ-R3-7320U-8GB-DDR5-512GB,https://www.neptun.mk/2023/10/04/ACERAspire3A315-24P-R83E_1227393a-7071-458f-8af9-50715686ddbc.JPG?width=192,24999,20499.0,LAPTOP,Neptun,2023-10-11
