name,link,image,regular_price,discount_price,category,store,date
ACER Aspire 1 A115-22-A8WH,https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=55785&limit=100,https://setec.mk/image/cache/catalog/Product/55785_0-228x228.jpg,12999,9899,LAPTOP,Setec,2023-10-11
HP 250 G8,https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=51643&limit=100,https://setec.mk/image/cache/catalog/Product/51643_0-228x228.jpg,16999,9999,LAPTOP,Setec,2023-10-11
ACER Aspire 3 A315-23-A7KD,https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=55490&limit=100,https://setec.mk/image/cache/catalog/Product/55490_0-228x228.jpg,15999,12999,LAPTOP,Setec,2023-10-11
LENOVO IdeaPad 3 15ITL6 ( GRAY ) - Процесор Intel Celeron 6305  (4M Cache,https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=52567&limit=100,https://setec.mk/image/cache/catalog/Product/52567_0-228x228.jpg,15999,12999,LAPTOP,Setec,2023-10-11
LENOVO IdeaPad 3 15ITL6 GRAY - Процесор Intel Celeron 6305  (4M Cache,https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=51395&limit=100,https://setec.mk/image/cache/catalog/Product/51395_0-228x228.jpg,15999,12999,LAPTOP,Setec,2023-10-11
HP 15S-eq1056nia (Black),https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=51772&limit=100,https://setec.mk/image/cache/catalog/Product/51772_0-228x228.jpg,16999,13999,LAPTOP,Setec,2023-10-11
HP 250 G8,https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=51644&limit=100,https://setec.mk/image/cache/catalog/Product/51644_0-228x228.jpg,16999,13999,LAPTOP,Setec,2023-10-11
HP 255 G8 (Black),https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=51771&limit=100,https://setec.mk/image/cache/catalog/Product/51771_0-228x228.jpg,16499,13999,LAPTOP,Setec,2023-10-11
ASUS E410MA-BV1182WS (Peacock Blue)  /  Win 11 Home S,https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=52656&limit=100,https://setec.mk/image/cache/catalog/Product/52656_0-228x228.jpg,16999,14999,LAPTOP,Setec,2023-10-11
HP 250 G8,https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=54035&limit=100,https://setec.mk/image/cache/catalog/Product/54035_0-228x228.jpg,17499,14999,LAPTOP,Setec,2023-10-11
ACER Aspire 3 A315-56-3318  (Black) - Intel® Core™ i3-1005G1 (4M Cache,https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=54145&limit=100,https://setec.mk/image/cache/catalog/Product/54145_0-228x228.jpg,19999,15999,LAPTOP,Setec,2023-10-11
ASUS E510MA-BR698 (Peacock Blue),https://setec.mk/index.php?route=product/product&path=10002_10003&product_id=52657&limit=100,https://setec.mk/image/cache/catalog/Product/52657_0-228x228.jpg,17999,15999,LAPTOP,Setec,2023-10-11
