id,name,link,category,store,product_cluster_id,2023-07-30,2023-08-15,2023-08-28,2023-09-09,2023-09-24
70876,"Notebook Acer Aspire A115-22 3020E 4GB/128GB/15.6"" FullHD/36Wh/NoOS/Silver",https://www.anhoch.com/product/599268598/notebook-acer-aspire-a115-22-3020e-4gb128gb156-fullhd36whnoossilver,LAPTOP,Anhoch,LAPTOP957,10580.0,10580.0,10580.0,10580.0,10580.0
70877,"Notebook Lenovo IP3 3020E 4GB/256GB SSD/Vega3/15.6"" HD LED/DOS/UltraSlim/Grey",https://www.anhoch.com/product/599268488/notebook-lenovo-ip3-3020e-4gb256gb-ssdvega3156-hd-leddosultraslimgrey,LAPTOP,Anhoch,LAPTOP784,11980.0,11980.0,11980.0,11980.0,11980.0
70878,"Notebook HP 14 Chromebook N4000/4GB/64GB/14"" FHD/Chrome OS/Mouse/Sleeve",https://www.anhoch.com/product/599872723/notebook-hp-14-chromebook-n40004gb64gb14-fhdchrome-osmousesleeve,LAPTOP,Anhoch,LAPTOP65,11980.0,11980.0,11980.0,11980.0,11980.0
70879,"Notebook Mediacom SmartBook Edge 15.6 Intel Dual N3350/8GB/M2 SSD Slot/15.6"" FullHD/BT/Silver",https://www.anhoch.com/product/599872559/notebook-mediacom-smartbook-edge-156-intel-dual-n33508gbm2-ssd-slot156-fullhdbtsilver,LAPTOP,Anhoch,LAPTOP679,12580.0,12580.0,12580.0,12580.0,12580.0
70880,"Notebook Lenovo IP3 6305 4GB/128GB SSD/15.6"" FullHD/DOS/UltraSlim/Gray",https://www.anhoch.com/product/599269541/notebook-lenovo-ip3-6305-4gb128gb-ssd156-fullhddosultraslimgray,LAPTOP,Anhoch,LAPTOP759,12980.0,9980.0,,,
70881,"Notebook Lenovo IP3 6305 4GB/128GB/15.6"" FullHD AG 250N/DOS/ArcticGray",https://www.anhoch.com/product/599271345/notebook-lenovo-ip3-6305-4gb128gb156-fullhd-ag-250ndosarcticgray,LAPTOP,Anhoch,LAPTOP143,12980.0,10480.0,10480.0,10480.0,10480.0
70882,"Notebook Mediacom SmartBook Edge 13 Intel Dual N3350/4GB/64GB SSD+M2 Slot/13.3"" FHD/BT/Silver/Win10",https://www.anhoch.com/product/599871847/notebook-mediacom-smartbook-edge-13-intel-dual-n33504gb64gb-ssdm2-slot133-fhdbtsilverwin10,LAPTOP,Anhoch,LAPTOP971,13480.0,13480.0,13480.0,13480.0,13480.0
70883,"Notebook Lenovo IP3 3020E 8GB/256GB/15.6"" FullHD AG 250N/DOS/ArcticGray",https://www.anhoch.com/product/599877980/notebook-lenovo-ip3-3020e-8gb256gb156-fullhd-ag-250ndosarcticgray,LAPTOP,Anhoch,LAPTOP975,13480.0,13480.0,13480.0,13480.0,13480.0
70884,"Notebook Lenovo IP3 3020E 8GB/256GB SSD/Vega3/15.6"" HD LED/DOS/UltraSlim/Grey",https://www.anhoch.com/product/599271497/notebook-lenovo-ip3-3020e-8gb256gb-ssdvega3156-hd-leddosultraslimgrey,LAPTOP,Anhoch,LAPTOP396,13480.0,13480.0,13480.0,13480.0,13480.0
70885,"Notebook HP 250 G8 N4020 4GB/256GB/Intel UHD/15.6"" HD/RJ45/USB-C/DOS",https://www.anhoch.com/product/599270067/notebook-hp-250-g8-n4020-4gb256gbintel-uhd156-hdrj45usb-cdos,LAPTOP,Anhoch,LAPTOP952,13580.0,13580.0,13580.0,13580.0,13580.0
