id,category,store,2023-07-30,2023-08-15,2023-08-28,2023-09-09,2023-09-24
70876,LAPTOP,Anhoch,10580.0,10580.0,10580.0,10580.0,10580.0
70877,LAPTOP,Anhoch,11980.0,11980.0,11980.0,11980.0,11980.0
70878,LAPTOP,Anhoch,11980.0,11980.0,11980.0,11980.0,11980.0
70879,LAPTOP,Anhoch,12580.0,12580.0,12580.0,12580.0,12580.0
70881,LAPTOP,Anhoch,12980.0,10480.0,10480.0,10480.0,10480.0
70882,LAPTOP,Anhoch,13480.0,13480.0,13480.0,13480.0,13480.0
70883,LAPTOP,Anhoch,13480.0,13480.0,13480.0,13480.0,13480.0
70884,LAPTOP,Anhoch,13480.0,13480.0,13480.0,13480.0,13480.0
70885,LAPTOP,Anhoch,13580.0,13580.0,13580.0,13580.0,13580.0
70886,LAPTOP,Anhoch,13980.0,12980.0,12980.0,12980.0,12980.0
70887,LAPTOP,Anhoch,13980.0,12980.0,12980.0,12980.0,12980.0
70888,LAPTOP,Anhoch,14580.0,14580.0,14580.0,14580.0,14580.0
70889,LAPTOP,Anhoch,14580.0,14580.0,14580.0,14580.0,14580.0
70890,LAPTOP,Anhoch,14780.0,14780.0,14780.0,14780.0,14780.0
70891,LAPTOP,Anhoch,14980.0,14980.0,14980.0,14980.0,14980.0
70892,LAPTOP,Anhoch,15580.0,14780.0,14780.0,14780.0,14780.0
70893,LAPTOP,Anhoch,16480.0,16480.0,16480.0,16480.0,16480.0
70894,LAPTOP,Anhoch,16980.0,16980.0,16980.0,16980.0,16980.0
70895,LAPTOP,Anhoch,17380.0,17380.0,17380.0,17380.0,17380.0
70896,LAPTOP,Anhoch,18280.0,18280.0,18280.0,18280.0,18280.0
70897,LAPTOP,Anhoch,18280.0,18280.0,18280.0,18280.0,18280.0
70898,LAPTOP,Anhoch,18480.0,18480.0,16580.0,16580.0,16580.0
70899,LAPTOP,Anhoch,18580.0,18580.0,18580.0,18580.0,18580.0
70900,LAPTOP,Anhoch,18580.0,18580.0,18580.0,18580.0,17580.0
70901,LAPTOP,Anhoch,18980.0,18980.0,16580.0,16580.0,16580.0
70902,LAPTOP,Anhoch,19180.0,19180.0,19180.0,19180.0,19180.0
70903,LAPTOP,Anhoch,19480.0,19480.0,19480.0,19480.0,19480.0
70904,LAPTOP,Anhoch,19480.0,19480.0,19480.0,19480.0,17980.0
70905,LAPTOP,Anhoch,19480.0,19480.0,19480.0,19480.0,19480.0
70906,LAPTOP,Anhoch,19980.0,19980.0,19980.0,19980.0,19980.0
70907,LAPTOP,Anhoch,19980.0,19980.0,19980.0,19980.0,19980.0
70908,LAPTOP,Anhoch,19980.0,19980.0,16980.0,16980.0,16980.0
70909,LAPTOP,Anhoch,19980.0,19980.0,19980.0,19980.0,19980.0
70910,LAPTOP,Anhoch,19980.0,19980.0,19980.0,19980.0,19980.0
70911,LAPTOP,Anhoch,20580.0,20580.0,20580.0,20580.0,20580.0
70912,LAPTOP,Anhoch,20580.0,20580.0,20580.0,20580.0,20580.0
70913,LAPTOP,Anhoch,20880.0,20880.0,20880.0,20880.0,20480.0
70914,LAPTOP,Anhoch,20980.0,20980.0,20980.0,20980.0,18980.0
70915,LAPTOP,Anhoch,20980.0,20980.0,20980.0,20980.0,20980.0
70916,LAPTOP,Anhoch,20980.0,20980.0,20980.0,20980.0,20980.0
70918,LAPTOP,Anhoch,21580.0,21580.0,20980.0,20980.0,21580.0
70919,LAPTOP,Anhoch,21580.0,21580.0,21580.0,21580.0,21580.0
70920,LAPTOP,Anhoch,21580.0,21580.0,21580.0,21580.0,21580.0
70921,LAPTOP,Anhoch,21980.0,21980.0,21980.0,21980.0,21980.0
70922,LAPTOP,Anhoch,21980.0,21980.0,21980.0,20980.0,20980.0
70923,LAPTOP,Anhoch,22580.0,22580.0,22580.0,22580.0,22580.0
70924,LAPTOP,Anhoch,22580.0,22580.0,22580.0,22580.0,22580.0
70925,LAPTOP,Anhoch,22980.0,22980.0,22980.0,22980.0,22980.0
70926,LAPTOP,Anhoch,22980.0,22980.0,22980.0,22980.0,22980.0
70927,LAPTOP,Anhoch,22980.0,22980.0,22980.0,22980.0,22980.0
70928,LAPTOP,Anhoch,23580.0,23580.0,23580.0,21980.0,21980.0
70929,LAPTOP,Anhoch,23580.0,23580.0,22980.0,22980.0,23580.0
